drug_id,source,inchikey,nn_analog,target_chembl_id,sim_score,org_class,target_name,calibrated,wall,depth
SDZ-205-557,broad_hub,FFNWMBDISAYHDC-UHFFFAOYSA-N,0.6041666865348816,CHEMBL2026,0.4727272689342499,bacterial,Beta-lactamase,0.62,above,above(>=0.5)
SDZ-NKT-343,broad_hub,PCVSIMQAFWRUEC-JDXGNMNLSA-N,0.4000000059604645,CHEMBL2026,0.3092783391475677,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SDZ-SER-082,broad_hub,YASBOGFWAMXINH-TZMCWYRMSA-N,0.4799999892711639,CHEMBL2026,0.3529411852359772,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
SDZ-WAG-994,broad_hub,JAKAFSGZUXCHLF-LSCFUAHRSA-N,0.7894737124443054,CHEMBL4296320,0.5303030014038086,viral,RNA-directed RNA polymerase,0.75,above,above(>=0.5)
SF-11,broad_hub,PMEQBGAGFZDWQX-UHFFFAOYSA-N,0.3846153914928436,CHEMBL2026,0.3235294222831726,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SGC-0946,broad_hub,IQCKJUKAQJINMK-HUBRGWSESA-N,0.4375,CHEMBL247,0.3225806355476379,viral,Human immunodeficiency virus type 1 reverse transcriptase,0.38,below,mid(0.35-0.45)
SGC-CBP30,broad_hub,GEPYBHCJBORHCE-SFHVURJKSA-N,0.3118279576301574,CHEMBL2026,0.3118279576301574,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SGI-1027,broad_hub,QSYLKMKIVWJAAK-UHFFFAOYSA-N,0.3333333432674408,CHEMBL6135,0.3030303120613098,viral,Neuraminidase,0.38,below,deep(<0.35)
SGX523,broad_hub,BCZUAADEACICHN-UHFFFAOYSA-N,0.3333333432674408,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SID-7969543,broad_hub,KWMBIIQCLUIHDI-OAHLLOKOSA-N,0.3544303774833679,CHEMBL2026,0.3544303774833679,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SIS3,broad_hub,IJYPHMXWKKKHGT-VAWYXSNFSA-N,0.4411764740943908,CHEMBL2026,0.4411764740943908,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SKA-31,broad_hub,FECQXVPRUCCUIL-UHFFFAOYSA-N,0.3666666746139526,CHEMBL2026,0.342857152223587,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SKF-38393,broad_hub,JUDKOGFHZYMDMF-AWEZNQCLSA-N,1.0,CHEMBL4523582,1.0,viral,Replicase polyprotein 1ab,0.8,above,above(>=0.5)
SKF-77434,broad_hub,QBUVZVXIRYFENV-KRWDZBQOSA-N,1.0,CHEMBL4523582,0.4799999892711639,viral,Replicase polyprotein 1ab,0.62,above,above(>=0.5)
SKF-81297,broad_hub,GHWJEDJMOVUXEC-UHFFFAOYSA-N,1.0,CHEMBL4523582,0.6136363744735718,viral,Replicase polyprotein 1ab,0.75,above,above(>=0.5)
SKF-83566,broad_hub,XFTVOHWWEQGXLS-HNNXBMFYSA-N,1.0,CHEMBL4523582,0.4399999976158142,viral,Replicase polyprotein 1ab,0.38,above,above(>=0.5)
SKF-86002,broad_hub,YOELZIQOLWZLQC-UHFFFAOYSA-N,0.3600000143051147,CHEMBL2026,0.3600000143051147,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SKF-89976A,broad_hub,TXQKSMSLZVKQBI-FQEVSTJZSA-N,1.0,CHEMBL2026,0.3269230723381042,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
SKI-II,broad_hub,ZFGXZJKLOFCECI-UHFFFAOYSA-N,0.7368420958518982,CHEMBL2026,0.3170731663703918,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
SLV-319-(+/-),broad_hub,AXJQVVLKUYCICH-OAQYLSRUSA-N,1.0,CHEMBL2026,0.3035714328289032,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
SM-21,broad_hub,WTPAXDRULIZRDJ-ABFRBSLYSA-N,0.4814814925193786,CHEMBL2026,0.4814814925193786,bacterial,Beta-lactamase,0.62,below,edge(0.45-0.5)
SNG-1153,broad_hub,OXHMDMVBLQNMGP-UHFFFAOYSA-N,0.7090908885002136,CHEMBL6135,0.4814814925193786,viral,Neuraminidase,0.62,above,above(>=0.5)
SP-141,broad_hub,AABFWJDLCCDJJN-UHFFFAOYSA-N,0.4615384638309479,CHEMBL2026,0.3620689511299133,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
SP-420,broad_hub,YASYAEVZKXPYIZ-MRXNPFEDSA-N,0.3013698756694793,CHEMBL2026,0.3013698756694793,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SQ-22536,broad_hub,UKHMZCMKHPHFOT-ZCFIWIBFSA-N,0.625,CHEMBL2026,0.5098039507865906,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
SR-1664,broad_hub,IIJDFXNUWZTHIM-NRFANRHFSA-N,0.3076923191547394,CHEMBL2026,0.3076923191547394,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SR-2640,broad_hub,LMPZHLXYBWGGNT-UHFFFAOYSA-N,0.460317462682724,CHEMBL2026,0.358208954334259,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
SR-3576,broad_hub,MTFAYLZZDJGFGV-UHFFFAOYSA-N,0.4426229596138,CHEMBL2026,0.3421052694320678,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SRC-kinase-inhibitor-I,broad_hub,DMWVGXGXHPOEPT-UHFFFAOYSA-N,0.6122449040412903,CHEMBL2026,0.3454545438289642,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
SRPIN340,broad_hub,DWFGGOFPIISJIT-UHFFFAOYSA-N,0.3333333432674408,CHEMBL2026,0.3199999928474426,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SSR128129E,broad_hub,SNMCWIDCSPHZRD-UHFFFAOYSA-N,0.3207547068595886,CHEMBL2026,0.3103448152542114,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
ST-1859,broad_hub,ZPANWZBSGMDWON-UHFFFAOYSA-N,0.7037037014961243,CHEMBL2026,0.4166666567325592,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
ST-91,broad_hub,IALHTUPVRAQZFI-UHFFFAOYSA-N,0.4166666567325592,CHEMBL2026,0.3478260934352875,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
STAT3-inhibitor-VI,broad_hub,HWNUSGNZBAISFM-UHFFFAOYSA-N,0.3818181753158569,CHEMBL2026,0.3389830589294433,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
STF-083010,broad_hub,TVIVJHZHPKNDAQ-MHWRWJLKSA-N,0.4888888895511627,CHEMBL2026,0.4888888895511627,bacterial,Beta-lactamase,0.62,below,edge(0.45-0.5)
STF-118804,broad_hub,DLFCEZOMHBPDGI-UHFFFAOYSA-N,0.4411764740943908,CHEMBL2026,0.4117647111415863,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
STF-31,broad_hub,NGQPRVWTFNBUHA-UHFFFAOYSA-N,0.3913043439388275,CHEMBL2026,0.3134328424930572,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SU16f,broad_hub,APYYTEJNOZQZNA-MOSHPQCFSA-N,0.5483871102333069,CHEMBL2026,0.3134328424930572,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
SU3327,broad_hub,NQQBNZBOOHHVQP-UHFFFAOYSA-N,0.3414634168148041,CHEMBL2026,0.3414634168148041,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
SU4312,broad_hub,UAKWLVYMKBWHMX-PTNGSMBKSA-N,0.6315789222717285,CHEMBL2026,0.5365853905677795,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
SU9516,broad_hub,QNUKRWAIZMBVCU-WCIBSUBMSA-N,0.4444444477558136,CHEMBL2026,0.4444444477558136,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
SX-011,broad_hub,GUTYHDCSDBBMGW-UHFFFAOYSA-N,0.3623188436031341,CHEMBL1849,0.3623188436031341,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,mid(0.35-0.45)
SY-640,broad_hub,JIWDGIYBLGMPRV-UHFFFAOYSA-N,0.5897436141967773,CHEMBL2026,0.5,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
SYM-2081,broad_hub,KRKRAOXTGDJWNI-DMTCNVIQSA-N,1.0,CHEMBL2026,0.3636363744735718,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
T-0070907,broad_hub,FRPJSHKMZHWJBE-UHFFFAOYSA-N,0.4285714328289032,CHEMBL2026,0.4285714328289032,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
T-025,broad_hub,PMWVYONICYRLNY-UHFFFAOYSA-N,0.4000000059604645,CHEMBL2026,0.4000000059604645,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
T-1095,broad_hub,BXNCIERBDJYIQT-PRDVQWLOSA-N,0.5128205418586731,CHEMBL2026,0.3170731663703918,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
T-5601640,broad_hub,XVOKFRPKSAWELK-UHFFFAOYSA-N,0.3508771955966949,CHEMBL2026,0.338709682226181,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
T-62,broad_hub,OTZVBZFYMFTYKH-UHFFFAOYSA-N,1.0,CHEMBL2026,0.3846153914928436,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
TAK-220,broad_hub,ASSJTMUEFHUKMJ-UHFFFAOYSA-N,0.3472222089767456,CHEMBL1849,0.3472222089767456,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,deep(<0.35)
TAK-715,broad_hub,HEKAIDKUDLCBRU-UHFFFAOYSA-N,0.3492063581943512,CHEMBL2026,0.3088235259056091,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
TAK-733,broad_hub,RCLQNICOARASSR-SECBINFHSA-N,0.324999988079071,CHEMBL2026,0.324999988079071,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
TAME,broad_hub,FKMJXALNHKIDOD-LBPRGKRZSA-N,0.447761207818985,CHEMBL2026,0.3676470518112182,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TBOA-(DL),broad_hub,CSEZCYBVEGIYNG-MFBWXLJUSA-N,0.4705882370471954,CHEMBL243,0.4000000059604645,viral,Human immunodeficiency virus type 1 protease,0.38,below,edge(0.45-0.5)
TC-H-106,broad_hub,WTKBRPXPNAKVEQ-UHFFFAOYSA-N,1.0,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
TC-I-15,broad_hub,XKLHCUGVLCGKKX-RBUKOAKNSA-N,0.3600000143051147,CHEMBL243,0.3369565308094024,viral,Human immunodeficiency virus type 1 protease,0.38,below,mid(0.35-0.45)
TC-I-2000,broad_hub,ADCDUDFEGFKKQH-NRFANRHFSA-N,0.409090906381607,CHEMBL2026,0.304347813129425,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TC-NTR1-17,broad_hub,ZQUSYVORYNBGLG-FQEVSTJZSA-N,0.6499999761581421,CHEMBL2026,0.3375000059604645,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
TC-O-9311,broad_hub,KPTMSQHTGZMEFU-UHFFFAOYSA-N,0.4399999976158142,CHEMBL2026,0.4399999976158142,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TC-OT-39,broad_hub,KSNHHKZYKYNBEI-NDEPHWFRSA-N,0.4791666567325592,CHEMBL2026,0.3269230723381042,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
TC-S-7004,broad_hub,CQKBSRPVZZLCJE-UHFFFAOYSA-N,0.3636363744735718,CHEMBL2026,0.3552631437778473,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
TCN238,broad_hub,LNUXNUNUGIHCPA-VOTSOKGWSA-N,0.4516128897666931,CHEMBL2026,0.3055555522441864,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
TCS-21311,broad_hub,CLGRAWDGLMENOD-UHFFFAOYSA-N,0.3142857253551483,CHEMBL2026,0.3142857253551483,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
TCS-2210,broad_hub,ZOFZKGFBKISZRI-UHFFFAOYSA-N,0.3404255211353302,CHEMBL243,0.3378378450870514,viral,Human immunodeficiency virus type 1 protease,0.38,below,deep(<0.35)
TCS-2314,broad_hub,ITXAAOWFOURIHK-DEOSSOPVSA-N,0.3066666722297668,CHEMBL1849,0.3066666722297668,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,deep(<0.35)
TCS-3035,broad_hub,WXMCOLGPDOYHNK-UITAMQMPSA-N,0.4107142984867096,CHEMBL2026,0.3214285671710968,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
