drug_id,source,inchikey,nn_analog,target_chembl_id,sim_score,org_class,target_name,calibrated,wall,depth
(R)-(-)-rolipram,broad_hub,HJORMJIFDVBMOB-LBPRGKRZSA-N,1.0,CHEMBL2026,0.3272727131843567,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
(S)-(+)-rolipram,broad_hub,HJORMJIFDVBMOB-GFCCVEGCSA-N,1.0,CHEMBL2026,0.3272727131843567,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"1,3-dipropyl-8-phenylxanthine",broad_hub,CLIGSMOZKDCDRZ-UHFFFAOYSA-N,0.4482758641242981,CHEMBL2026,0.3484848439693451,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
"1,5-dicaffeoylquinic-acid",broad_hub,YDDUMTOHNYZQPO-PSEXTPKNSA-N,1.0,CHEMBL3471,1.0,viral,Human immunodeficiency virus type 1 integrase,0.8,above,above(>=0.5)
1-EBIO,broad_hub,CXUCKELNYMZTRT-UHFFFAOYSA-N,0.6363636255264282,CHEMBL2026,0.5428571701049805,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
1-ethyl-2-pyrrolidone,broad_hub,ZFPGARUNNKGOBB-UHFFFAOYSA-N,0.517241358757019,CHEMBL2026,0.517241358757019,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
1-hexadecanol,broad_hub,BXWNKGSJHAJOGX-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
1-octacosanol,broad_hub,CNNRPFQICPFDPO-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
1-octanol,broad_hub,KBPLFHHGFOOTCA-UHFFFAOYSA-N,0.5,CHEMBL2026,0.4230769276618957,bacterial,Beta-lactamase,0.38,above,edge(0.45-0.5)
10-deacetylbaccatin,broad_hub,YWLXLRUDGLRYDR-ZHPRIASZSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
1400W,broad_hub,RODUKNYOEVZQPR-UHFFFAOYSA-N,1.0,CHEMBL4523582,0.4000000059604645,viral,Replicase polyprotein 1ab,0.38,above,above(>=0.5)
"16,16-dimethylprostaglandin-e2",broad_hub,QAOBBBBDJSWHMU-WMBBNPMCSA-N,0.7288135886192322,CHEMBL2026,0.3783783912658691,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
17-PA,broad_hub,SINAMTXBCYKFDL-WBJZGETLSA-N,0.5593220591545105,CHEMBL2026,0.5384615659713745,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
2'-C-methylguanosine,broad_hub,NVKAMPJSWMHVDK-GITKWUPZSA-N,0.5789473652839661,CHEMBL4296320,0.5789473652839661,viral,RNA-directed RNA polymerase,0.75,above,above(>=0.5)
2'-MeCCPA,broad_hub,MMPAUXMIDJWGFO-ROMFRFKVSA-N,0.515625,CHEMBL4296320,0.515625,viral,RNA-directed RNA polymerase,0.75,above,above(>=0.5)
"2,4-dinitrochlorobenzene",broad_hub,VYZAHLCBVHPDDF-UHFFFAOYSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
"2,4-dinitrophenol",broad_hub,UFBJCMHMOXMLKC-UHFFFAOYSA-N,0.5862069129943848,CHEMBL2026,0.5862069129943848,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
2-(1-adamantylamino)benzoic-acid,broad_hub,XKZLSYWCDJZTMW-UHFFFAOYSA-N,0.395348846912384,CHEMBL2026,0.3584905564785003,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
2-APB,broad_hub,BLZVCIGGICSWIG-UHFFFAOYSA-N,1.0,CHEMBL4523582,0.3333333432674408,viral,Replicase polyprotein 1ab,0.38,above,above(>=0.5)
2-BFI,broad_hub,YTJOHEUHUVBKSB-UHFFFAOYSA-N,0.3488371968269348,CHEMBL2026,0.3181818127632141,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
2-PMDQ,broad_hub,ONSOQRPYFKDOEB-INIZCTEOSA-N,0.3166666626930237,CHEMBL2026,0.3166666626930237,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
2-TEDC,broad_hub,KCGLTUBCAGZLHP-XYOKQWHBSA-N,0.4237288236618042,CHEMBL2026,0.4237288236618042,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
2-[1-(4-piperonyl)piperazinyl]benzothiazole,broad_hub,BYHKGNWKJMGHGE-UHFFFAOYSA-N,0.5,CHEMBL2026,0.5,bacterial,Beta-lactamase,0.75,above,edge(0.45-0.5)
2-aminobenzenesulfonamide,broad_hub,YAZSBRQTAHVVGE-UHFFFAOYSA-N,0.3846153914928436,CHEMBL247,0.324999988079071,viral,Human immunodeficiency virus type 1 reverse transcriptase,0.38,below,mid(0.35-0.45)
2-chloro-N6-cyclopentyladenosine,broad_hub,XSMYYYQVWPZWIZ-IDTAVKCVSA-N,0.7321428656578064,CHEMBL4523582,0.5166666507720947,viral,Replicase polyprotein 1ab,0.75,above,above(>=0.5)
2-chloroadenosine,broad_hub,BIXYYZIIJIXVFW-UUOKFMHZSA-N,1.0,CHEMBL2026,0.6875,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
2-deoxyglucose,broad_hub,PMMURAAUARKVCB-ZXXMMSQZSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
"2-ethyl-1,3-hexanediol",broad_hub,RWLALWYNXFYRGW-JGVFFNPUSA-N,0.3548386991024017,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
2-fluoro-2-deoxy-D-galactose,broad_hub,ZCXUVYAZINUVJD-AIECOIEWSA-N,0.6818181872367859,CHEMBL2026,0.6818181872367859,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",broad_hub,BWKBPVRNWJFLSC-FROSJQSHSA-N,0.3714285790920257,CHEMBL6135,0.3092783391475677,viral,Neuraminidase,0.38,below,mid(0.35-0.45)
2-hydroxyethyl-salicylate,broad_hub,LVYLCBNXHHHPSB-UHFFFAOYSA-N,0.4666666686534881,CHEMBL2026,0.3888888955116272,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
2-iodohippuric-acid,broad_hub,CORFWQGVBFFZHF-UHFFFAOYSA-N,0.65625,CHEMBL2026,0.4444444477558136,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
2-iodomelatonin,broad_hub,FJDDSMSDZHURBJ-UHFFFAOYSA-N,1.0,CHEMBL2026,0.4262295067310333,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
2-methyl-5-nitrophenol,broad_hub,UMFDLIXUUJMPSI-UHFFFAOYSA-N,0.4848484992980957,CHEMBL2026,0.46875,bacterial,Beta-lactamase,0.62,below,edge(0.45-0.5)
2-methylimidazole,broad_hub,LXBGSDVWAMZHDD-UHFFFAOYSA-N,0.3333333432674408,CHEMBL4523582,0.3333333432674408,viral,Replicase polyprotein 1ab,0.38,below,deep(<0.35)
2-phenylmelatonin,broad_hub,OFCLARYYBGKCHN-UHFFFAOYSA-N,0.7200000286102295,CHEMBL2026,0.4677419364452362,bacterial,Beta-lactamase,0.62,above,above(>=0.5)
2-pyridylethylamine,broad_hub,XPQIPUZPSLAZDV-UHFFFAOYSA-N,0.4230769276618957,CHEMBL2026,0.3125,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
20-HETE,broad_hub,NNDIXBJHNLFJJP-DTLRTWKJSA-N,0.6666666865348816,CHEMBL2026,0.6129032373428345,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
"3,3'-diindolylmethane",broad_hub,VFTRKSBEFQDZKX-UHFFFAOYSA-N,1.0,CHEMBL2026,0.5625,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
"3,4-DCPG-(+/-)",broad_hub,IJVMOGKBEVRBPP-SSDOTTSWSA-N,0.7333333492279053,CHEMBL2026,0.3513513505458832,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"3,4-DCPG-(S)",broad_hub,IJVMOGKBEVRBPP-ZETCQYMHSA-N,0.7333333492279053,CHEMBL2026,0.3513513505458832,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"3,5-DHPG-(S)",broad_hub,HOOWCUZPEFNHDT-ZETCQYMHSA-N,1.0,CHEMBL2026,0.4375,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-MATIDA,broad_hub,KOMWRBFEDDEWEP-RXMQYKEDSA-N,0.3611111044883728,CHEMBL2026,0.324999988079071,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
3-alpha-bis-(4-fluorophenyl)-methoxytropane,broad_hub,MHNSOBBJZCWUGS-PMOLBWCYSA-N,0.5454545617103577,CHEMBL2026,0.3799999952316284,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-alpha-hydroxy-5-beta-androstan-17-one,broad_hub,QGXBDMJGAMFCBF-BNSUEQOYSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
3-amino-benzamide,broad_hub,GSCPDZHWVNUUFI-UHFFFAOYSA-N,1.0,CHEMBL2026,0.4137931168079376,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-anilinopropan-1-ol,broad_hub,GZYBSURBYCLNSM-UHFFFAOYSA-N,0.3600000143051147,CHEMBL2026,0.3529411852359772,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
3-bromo-7-nitroindazole,broad_hub,NFSTZPMYAZRZPC-UHFFFAOYSA-N,0.5789473652839661,CHEMBL2026,0.3095238208770752,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-carboxy-4-hydroxyphenylglycine-(R),broad_hub,CHZBCZTXSTWCIG-SSDOTTSWSA-N,1.0,CHEMBL2026,0.3684210479259491,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-carboxy-4-hydroxyphenylglycine-(S),broad_hub,CHZBCZTXSTWCIG-ZETCQYMHSA-N,1.0,CHEMBL2026,0.3684210479259491,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-deazaadenosine,broad_hub,DBZQFUNLCALWDY-GPUHXXMPSA-N,1.0,CHEMBL2026,0.6458333134651184,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
3-deazaneplanocin-A,broad_hub,OMKHWTRUYNAGFG-IEBDPFPHSA-N,0.5799999833106995,CHEMBL2026,0.3684210479259491,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-deazauridine,broad_hub,CBOKZNLSFMZJJA-PRQTWWFRSA-N,0.5652173757553101,CHEMBL2026,0.4399999976158142,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
3-indolebutyric-acid,broad_hub,JTEDVYBZBROSJT-UHFFFAOYSA-N,0.6585366129875183,CHEMBL2026,0.5789473652839661,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
3-methyl-GABA,broad_hub,CZGLBWZXGIAIBU-SCSAIBSYSA-N,0.5384615659713745,CHEMBL2026,0.5,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
3PO,broad_hub,UOWGYMNWMDNSTL-ONEGZZNKSA-N,0.4893617033958435,CHEMBL3471,0.4047619104385376,viral,Human immunodeficiency virus type 1 integrase,0.38,below,edge(0.45-0.5)
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,broad_hub,FTJXZACAQRDRNT-UHFFFAOYSA-N,0.3939394056797027,CHEMBL1849,0.3275862038135528,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,mid(0.35-0.45)
4-(aminomethyl)benzoic-acid,broad_hub,QCTBMLYLENLHLA-UHFFFAOYSA-N,0.5416666865348816,CHEMBL4523582,0.47826087474823,viral,Replicase polyprotein 1ab,0.62,above,above(>=0.5)
4-CMTB,broad_hub,AZYDQCGCBQYFSE-GFCCVEGCSA-N,0.3684210479259491,CHEMBL1075207,0.3018867969512939,bacterial,Transcriptional activator protein LasR,0.38,below,mid(0.35-0.45)
4-DAMP,broad_hub,HYJRTXSYDAFGJK-UHFFFAOYSA-N,0.5319148898124695,CHEMBL2026,0.4259259402751922,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-HQN,broad_hub,QMNUDYFKZYBWQX-UHFFFAOYSA-N,0.4838709533214569,CHEMBL2026,0.3870967626571655,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
4-IBP,broad_hub,HELCSESNNDZLFM-UHFFFAOYSA-N,0.4655172526836395,CHEMBL2026,0.4054054021835327,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
4-P-PDOT,broad_hub,RCYLUNPFECYGDW-AEFFLSMTSA-N,0.6190476417541504,CHEMBL2026,0.3478260934352875,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-aminohippuric-acid,broad_hub,HSMNQINEKMPTIC-UHFFFAOYSA-N,1.0,CHEMBL2026,1.0,bacterial,Beta-lactamase,0.8,above,above(>=0.5)
4-carboxy-3-hydroxyphenylglycine-(RS),broad_hub,GXZSAQLJWLCLOX-SSDOTTSWSA-N,0.7419354915618896,CHEMBL2026,0.3684210479259491,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-carboxy-3-hydroxyphenylglycine-(S),broad_hub,GXZSAQLJWLCLOX-ZETCQYMHSA-N,0.7419354915618896,CHEMBL2026,0.3684210479259491,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-galactosyllactose,broad_hub,FYGDTMLNYKFZSV-QGAOIPDPSA-N,0.6176470518112183,CHEMBL2026,0.6176470518112183,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
4-hydroxy-phenazone,broad_hub,SKVPTPMWXJSBTF-UHFFFAOYSA-N,1.0,CHEMBL2026,0.3571428656578064,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-iodo-6-phenylpyrimidine,broad_hub,ZTCJXHNJVLUUMR-UHFFFAOYSA-N,0.3870967626571655,CHEMBL2026,0.3870967626571655,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
4-mu-8C,broad_hub,RTHHSXOVIJWFQP-UHFFFAOYSA-N,0.6857143044471741,CHEMBL2026,0.6486486196517944,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
4-phenolsulfonic-acid,broad_hub,FEPBITJSIHRMRT-UHFFFAOYSA-N,0.4814814925193786,CHEMBL4523582,0.375,viral,Replicase polyprotein 1ab,0.38,below,edge(0.45-0.5)
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",broad_hub,OSZMNJRKIPAVOS-HNNXBMFYSA-N,0.4749999940395355,CHEMBL4523582,0.4749999940395355,viral,Replicase polyprotein 1ab,0.62,below,edge(0.45-0.5)
4-propylbenzoic-acid,broad_hub,ATZHGRNFEFVDDJ-UHFFFAOYSA-N,0.6666666865348816,CHEMBL2026,0.4545454680919647,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
4-tert-butylphenol,broad_hub,QHPQWRBYOIRBIT-UHFFFAOYSA-N,0.6842105388641357,CHEMBL2026,0.375,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
5'-chloro-5'-deoxy-ENBA-(+/-),broad_hub,PVJGDYDNVNCGBT-CYDCOVMPSA-N,0.6000000238418579,CHEMBL2026,0.453125,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"5-(4chlorophenyl)-4-ethyl-2,4-dihydro-3H-1,2,4-triazol-3-one",broad_hub,PXINDYJACXPZIN-UHFFFAOYSA-N,0.3409090936183929,CHEMBL2026,0.3409090936183929,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
"5-amino-3-D-ribofuranosylthiazolo[4,5-d]pyrimidin-2,7(3H,6H)-dione",broad_hub,TZYVRXZQAWPIAB-FCLHUMLKSA-N,0.4426229596138,CHEMBL4523582,0.3492063581943512,viral,Replicase polyprotein 1ab,0.38,below,mid(0.35-0.45)
5-hydroxydecanoic-acid,broad_hub,LMHJFKYQYDSOQO-SECBINFHSA-N,0.6428571343421936,CHEMBL2026,0.4545454680919647,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
5-hydroxytryptophan,broad_hub,LDCYZAJDBXYCGN-VIFPVBQESA-N,0.675000011920929,CHEMBL2026,0.439393937587738,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
5-octanoylsalicylic-acid,broad_hub,IXIGWKNBFPKCCD-UHFFFAOYSA-N,0.4324324429035187,CHEMBL4523582,0.3913043439388275,viral,Replicase polyprotein 1ab,0.38,below,mid(0.35-0.45)
"6,7-dehydro-17-acetoxy-progesterone",broad_hub,URXWVWVPMJSAJD-KOORYGTMSA-N,0.6964285969734192,CHEMBL2026,0.5645161271095276,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
6-aminochrysene,broad_hub,KIVUHCNVDWYUNP-UHFFFAOYSA-N,0.5199999809265137,CHEMBL2026,0.375,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
6-aminopenicillanic-acid,broad_hub,NGHVIOIJCVXTGV-ALEPSDHESA-N,0.5208333134651184,CHEMBL2026,0.3230769336223602,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
6-benzylaminopurine,broad_hub,NWBJYWHLCVSVIJ-UHFFFAOYSA-N,0.625,CHEMBL2026,0.3111111223697662,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
6-chloromelatonin,broad_hub,LUINDDOUWHRIPW-UHFFFAOYSA-N,0.760869562625885,CHEMBL2026,0.5416666865348816,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
6-iodo-nordihydrocapsaicin,broad_hub,AAORACFZMYMFCG-UHFFFAOYSA-N,0.6326530575752258,CHEMBL2026,0.3829787373542785,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",broad_hub,HBEJFHWHFIAMAI-UHFFFAOYSA-N,0.5581395626068115,CHEMBL2026,0.5581395626068115,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
7-aminocephalosporanic-acid,broad_hub,HSHGZXNAXBPPDL-HZGVNTEJSA-N,0.6071428656578064,CHEMBL2026,0.447761207818985,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
7-keto-DHEA,broad_hub,VVSMJVQHDZUPIL-XFKPDKBWSA-N,0.686274528503418,CHEMBL2026,0.4262295067310333,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
7-methoxytacrine,broad_hub,APQPVVOYBLOJDY-UHFFFAOYSA-N,0.675000011920929,CHEMBL2026,0.380952388048172,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
7-nitroindazole,broad_hub,PQCAUHUKTBHUSA-UHFFFAOYSA-N,0.4146341383457184,CHEMBL2026,0.324999988079071,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
8-bromo-cAMP,broad_hub,DVKQVRZMKBDMDH-UUOKFMHZSA-N,0.6833333373069763,CHEMBL2026,0.3188405930995941,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
A-1070722,broad_hub,VQPBIJGXSXEOCU-UHFFFAOYSA-N,0.3382352888584137,CHEMBL2026,0.3035714328289032,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
A-33903,broad_hub,MMXSDWJOQSEPSM-MRXNPFEDSA-N,0.3846153914928436,CHEMBL2026,0.314814805984497,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
A-412997,broad_hub,JFCDMGGMCUKHST-UHFFFAOYSA-N,0.3857142925262451,CHEMBL2026,0.3857142925262451,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
A-803467,broad_hub,VHKBTPQDHDSBSP-UHFFFAOYSA-N,0.4032258093357086,CHEMBL2026,0.3636363744735718,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
A-922500,broad_hub,BOZRFEQDOFSZBV-DHIUTWEWSA-N,0.4594594538211822,CHEMBL2026,0.4000000059604645,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
A-939572,broad_hub,DPYTYQFYDLYWHZ-UHFFFAOYSA-N,0.4000000059604645,CHEMBL2026,0.4000000059604645,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
A0001,broad_hub,LTVDFSLWFKLJDQ-IEOSBIPESA-N,1.0,CHEMBL2026,0.3928571343421936,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
A205804,broad_hub,QQGWEXFLMJGCAL-UHFFFAOYSA-N,0.3018867969512939,CHEMBL2026,0.3018867969512939,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
A922500,broad_hub,BOZRFEQDOFSZBV-PKTZIBPZSA-N,0.4594594538211822,CHEMBL2026,0.4000000059604645,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
AA-29504,broad_hub,SCOOTUMXCXKEAD-UHFFFAOYSA-N,0.3220339119434356,CHEMBL2026,0.3098591566085815,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
AAI101,broad_hub,HFZITXBUTWITPT-YWVKMMECSA-O,0.550000011920929,CHEMBL2026,0.550000011920929,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
ABT-072,broad_hub,XMZSTQYSBYEENY-RMKNXTFCSA-N,0.6323529481887817,CHEMBL4296320,0.6323529481887817,viral,RNA-directed RNA polymerase,0.75,above,above(>=0.5)
ABT-239,broad_hub,KFHYZKCRXNRKRC-MRXNPFEDSA-N,0.3194444477558136,CHEMBL2026,0.3000000119209289,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
ABT-724,broad_hub,FRPJGTNLZNXQEX-UHFFFAOYSA-N,0.3392857015132904,CHEMBL1075207,0.3333333432674408,bacterial,Transcriptional activator protein LasR,0.38,below,deep(<0.35)
ABT-751,broad_hub,URCVCIZFVQDVPM-UHFFFAOYSA-N,0.4000000059604645,CHEMBL2026,0.4000000059604645,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AC-55649,broad_hub,HXBKPYIEQLLNBK-UHFFFAOYSA-N,1.0,CHEMBL2026,0.4473684132099151,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
AC1NDSS5,broad_hub,VZXULFIUJKSVJY-UHFFFAOYSA-N,0.4081632792949676,CHEMBL2026,0.3396226465702057,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
ACT-462206,broad_hub,NHPQGZOBHSVTAQ-IBGZPJMESA-N,0.5192307829856873,CHEMBL2026,0.4339622557163238,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
ACY-1215,broad_hub,QGZYDVAGYRLSKP-UHFFFAOYSA-N,0.4791666567325592,CHEMBL2026,0.4791666567325592,bacterial,Beta-lactamase,0.62,below,edge(0.45-0.5)
AEG3482,broad_hub,MQUYTXDAVCOCMX-UHFFFAOYSA-N,0.4186046421527862,CHEMBL2026,0.3095238208770752,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AF38469,broad_hub,JWCUSQCZMQIBMR-UHFFFAOYSA-N,0.3157894611358642,CHEMBL2026,0.3157894611358642,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
AG-490,broad_hub,TUCIOBMMDDOEMM-RIYZIHGNSA-N,0.6078431606292725,CHEMBL3471,0.4150943458080292,viral,Human immunodeficiency virus type 1 integrase,0.38,above,above(>=0.5)
AGP-103,broad_hub,UKMSUNONTOPOIO-UHFFFAOYSA-N,1.0,CHEMBL2026,0.6153846383094788,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
AH-7614,broad_hub,OZCQEUZTOAAWDK-UHFFFAOYSA-N,0.4186046421527862,CHEMBL2026,0.3260869681835174,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AH11110,broad_hub,HSVZQQYIMKLNLN-GOSISDBHSA-N,0.3600000143051147,CHEMBL2026,0.3230769336223602,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AH6809,broad_hub,AQFFXPQJLZFABJ-UHFFFAOYSA-N,0.4680851101875305,CHEMBL2026,0.4107142984867096,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
AK-7,broad_hub,IYAYHZZWYNXHEQ-UHFFFAOYSA-N,0.4375,CHEMBL1849,0.380952388048172,bacterial,Enoyl-[acyl-carrier-protein] reductase [NADH],0.38,below,mid(0.35-0.45)
AKBA,broad_hub,HMMGKOVEOFBCAU-BCDBGHSCSA-N,1.0,CHEMBL2366517,0.4124999940395355,viral,Protease,0.38,above,above(>=0.5)
ALS-8112,broad_hub,AWSRKKBIPSQHOJ-IBCQBUCCSA-N,0.5,CHEMBL4296320,0.4406779706478119,viral,RNA-directed RNA polymerase,0.38,above,edge(0.45-0.5)
ALS-8176,broad_hub,MJVKYGMNSQJLIN-KYZVSKTDSA-N,0.3676470518112182,CHEMBL247,0.3472222089767456,viral,Human immunodeficiency virus type 1 reverse transcriptase,0.38,below,mid(0.35-0.45)
ALX-40-4C,broad_hub,LGLVVVCSQBZONM-HCCLCSBVSA-N,0.6428571343421936,CHEMBL2026,0.4067796468734741,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
AM-630,broad_hub,JHOTYHDSLIUKCJ-UHFFFAOYSA-N,0.4375,CHEMBL2026,0.3600000143051147,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AMG-208,broad_hub,HEAIZQNMNCHNFD-UHFFFAOYSA-N,1.0,CHEMBL2026,0.3389830589294433,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
AMG-548,broad_hub,RQVKVJIRFKVPBF-VWLOTQADSA-N,0.328947365283966,CHEMBL2026,0.328947365283966,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
AMG-9810,broad_hub,GZTFUVZVLYUPRG-IZZDOVSWSA-N,0.4035087823867798,CHEMBL2026,0.3484848439693451,bacterial,Beta-lactamase,0.38,below,mid(0.35-0.45)
AMZ30,broad_hub,GUCUORSUHTZMBW-YBFXNURJSA-N,0.3050847351551056,CHEMBL2026,0.3050847351551056,bacterial,Beta-lactamase,0.38,below,deep(<0.35)
ANR-94,broad_hub,QUGDTMONBLMLLD-UHFFFAOYSA-N,0.4749999940395355,CHEMBL2026,0.3333333432674408,bacterial,Beta-lactamase,0.38,below,edge(0.45-0.5)
AP1903,broad_hub,GQLCLPLEEOUJQC-ZTQDTCGGSA-N,0.8518518805503845,CHEMBL2026,0.3125,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
APC-100,broad_hub,SEBPXHSZHLFWRL-UHFFFAOYSA-N,0.6388888955116272,CHEMBL2026,0.6388888955116272,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
API-1,broad_hub,SPBWHPXCWJLQRU-FITJORAGSA-N,0.8775510191917419,CHEMBL2026,0.5535714030265808,bacterial,Beta-lactamase,0.75,above,above(>=0.5)
APY-29,broad_hub,WJNBSTLIALIIEW-UHFFFAOYSA-N,0.375,CHEMBL247,0.304347813129425,viral,Human immunodeficiency virus type 1 reverse transcriptase,0.38,below,mid(0.35-0.45)
AR-42,broad_hub,LAMIXXKAWNLXOC-INIZCTEOSA-N,1.0,CHEMBL2026,0.4651162922382355,bacterial,Beta-lactamase,0.62,above,above(>=0.5)
AR-A014418,broad_hub,YAEMHJKFIIIULI-UHFFFAOYSA-N,1.0,CHEMBL2026,0.3709677457809448,bacterial,Beta-lactamase,0.38,above,above(>=0.5)
