metabolite,chebi_id,met_smiles,target_chembl_id,target_name,target_class,analog_similarity,nn_analog,metabolite_promiscuity,tier
tetracycline,CHEBI:27902,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.7083333333333334,0.7083333333333334,8,A (0.7-1.0)
tetracycline,CHEBI:27902,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7083333333333334,0.7083333333333334,8,A (0.7-1.0)
tetracycline,CHEBI:27902,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.7083333333333334,0.7083333333333334,8,A (0.7-1.0)
pCpC,CHEBI:115240,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@H]3[C@@H](O)[C@H](n4ccc(N)nc4=O)O[C@@H]3COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.7068965517241379,0.7068965517241379,21,A (0.7-1.0)
streptomycin,CHEBI:17076,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.7058823529411765,0.7058823529411765,2,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL236,Delta-type opioid receptor,GPCR (aminergic/purinergic),0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL226,Adenosine receptor A1,GPCR (aminergic/purinergic),0.7040816326530612,0.7040816326530612,12,A (0.7-1.0)
L-gamma-glutamyl-L-cysteine,CHEBI:17515,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7027027027027027,0.7027027027027027,17,A (0.7-1.0)
"3,17-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9-one",CHEBI:85575,Cc1ccc(O)cc1CCC1C(=O)CC[C@]2(C)C(O)CC[C@@H]12,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Kinase,0.7,0.7,17,A- (0.6-0.7)
"3,17-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9-one",CHEBI:85575,Cc1ccc(O)cc1CCC1C(=O)CC[C@]2(C)C(O)CC[C@@H]12,CHEMBL279,Vascular endothelial growth factor receptor 2,Kinase,0.7,0.7,17,A- (0.6-0.7)
staurosporine,CHEBI:15738,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL299,Protein kinase C alpha type,Kinase,0.6986301369863014,0.6986301369863014,9,A- (0.6-0.7)
S-(hydroxymethyl)glutathione,CHEBI:48926,N[C@@H](CCC(=O)N[C@@H](CSCO)C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6976744186046512,0.6976744186046512,11,A- (0.6-0.7)
glutathioselenol,CHEBI:64729,N[C@@H](CCC(=O)N[C@@H](CS[SeH])C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6976744186046512,0.6976744186046512,10,A- (0.6-0.7)
rifampicin,CHEBI:28077,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.696969696969697,0.696969696969697,12,A- (0.6-0.7)
lanthionine,CHEBI:25013,NC(CSCC(N)C(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6956521739130435,0.6956521739130435,15,A- (0.6-0.7)
D-tagaturonate,CHEBI:17886,O=C([O-])[C@@H](O)[C@H](O)[C@H](O)C(=O)CO,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6956521739130435,0.6956521739130435,1,A- (0.6-0.7)
L-cystathionine,CHEBI:17482,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6923076923076923,0.6923076923076923,14,A- (0.6-0.7)
1'-hydroxy-gamma-carotene,CHEBI:80133,CC(=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)CCCC(C)(C)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6875,0.6875,13,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL2008,Retinoic acid receptor beta,Nuclear receptor,0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL2055,Retinoic acid receptor alpha,Nuclear receptor,0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL2061,Retinoic acid receptor RXR-alpha,Nuclear receptor,0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL2003,Retinoic acid receptor gamma,Nuclear receptor,0.6875,0.6875,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6875,0.6875,12,A- (0.6-0.7)
Arg-Arg,CHEBI:73811,N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O,CHEMBL4481,"Nitric oxide synthase, inducible",Enzyme (other),0.6857142857142857,0.6857142857142857,21,A- (0.6-0.7)
Arg-Arg,CHEBI:73811,N=C(N)NCCC[C@H](NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6857142857142857,0.6857142857142857,21,A- (0.6-0.7)
selenodiglutathione,CHEBI:26634,N[C@@H](CCC(=O)N[C@@H](CS[Se]SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6818181818181818,0.6818181818181818,8,A- (0.6-0.7)
D-leucine,CHEBI:28225,CC(C)C[C@@H](N)C(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6818181818181818,0.6818181818181818,20,A- (0.6-0.7)
S-(chloromethyl)glutathione,CHEBI:136417,N[C@@H](CCC(=O)N[C@@H](CSCCl)C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6818181818181818,0.6818181818181818,10,A- (0.6-0.7)
D-leucine,CHEBI:28225,CC(C)C[C@@H](N)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6818181818181818,0.6818181818181818,20,A- (0.6-0.7)
L-leucine,CHEBI:15603,CC(C)C[C@H](N)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6818181818181818,0.6818181818181818,20,A- (0.6-0.7)
S-formylglutathione,CHEBI:16225,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6818181818181818,0.6818181818181818,8,A- (0.6-0.7)
L-glutamine,CHEBI:18050,NC(=O)CC[C@H](N)C(=O)O,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6818181818181818,0.6818181818181818,15,A- (0.6-0.7)
L-glutamine,CHEBI:18050,NC(=O)CC[C@H](N)C(=O)O,CHEMBL1075189,Pyruvate kinase PKM,Kinase,0.6818181818181818,0.6818181818181818,15,A- (0.6-0.7)
L-leucine,CHEBI:15603,CC(C)C[C@H](N)C(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6818181818181818,0.6818181818181818,20,A- (0.6-0.7)
2'-deoxycytosine 5'-monophosphate,CHEBI:15918,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6792452830188679,0.6792452830188679,15,A- (0.6-0.7)
"1,6-dimethoxyphenazine",CHEBI:192367,COc1cccc2nc3c(OC)cccc3nc12,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.6774193548387096,0.6774193548387096,17,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6774193548387096,0.6774193548387096,21,A- (0.6-0.7)
chloroxanthin,CHEBI:138077,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CCCC(C)(C)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.6756756756756757,0.6756756756756757,6,A- (0.6-0.7)
chloroxanthin,CHEBI:138077,CC(C)=CCC/C(C)=C/CC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)CCCC(C)(C)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6756756756756757,0.6756756756756757,6,A- (0.6-0.7)
"N-(2,3-dihydroxybenzoyl)-L-serine",CHEBI:17455,O=C(N[C@@H](CO)C(=O)O)c1cccc(O)c1O,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.675,0.675,12,A- (0.6-0.7)
reedsmycin B,CHEBI:219367,CCC(C)C1OC(=O)/C=C/C=C/C=CC=CC=CCC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)/C=C/C1C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6724137931034483,0.6724137931034483,1,A- (0.6-0.7)
reedsmycin E,CHEBI:219386,CCC(C)C1OC(=O)/C=C/C=CC=CC=C/C=C/CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)/C=C/C1C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6724137931034483,0.6724137931034483,1,A- (0.6-0.7)
reedsmycin D,CHEBI:219380,CCC(C)C1OC(=O)/C=C/C=C/C=C/C=C/C=CCC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)/C=C/C1C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6724137931034483,0.6724137931034483,1,A- (0.6-0.7)
reedsmycin C,CHEBI:219375,CCC(C)C1OC(=O)C=CC=CC=CC=CC=CCC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)/C=C/C1C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6724137931034483,0.6724137931034483,1,A- (0.6-0.7)
reedsmycin A,CHEBI:219363,CCC(C)C1OC(=O)/C=C/C=C/C=C/C=C/C=C/CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)/C=C/C1C,CHEMBL289,Cytochrome P450 2D6,CYP (metabolism),0.6724137931034483,0.6724137931034483,1,A- (0.6-0.7)
oxytetracycline,CHEBI:27701,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6716417910447762,0.6716417910447762,8,A- (0.6-0.7)
tetracycline,CHEBI:27902,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6716417910447762,0.6716417910447762,8,A- (0.6-0.7)
daunorubicin,CHEBI:41977,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6704545454545454,0.6704545454545454,4,A- (0.6-0.7)
daunorubicin,CHEBI:41977,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,CHEMBL1865,Protein deacetylase HDAC6,Other,0.6704545454545454,0.6704545454545454,4,A- (0.6-0.7)
6-hydroxyphenazine-1-carboxylic acid,CHEBI:192505,O=C(O)c1cccc2nc3c(O)cccc3nc12,CHEMBL220,Acetylcholinesterase,Enzyme (other),0.6666666666666666,0.6666666666666666,23,A- (0.6-0.7)
glutathione,CHEBI:16856,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.6666666666666666,0.6666666666666666,16,A- (0.6-0.7)
1-hydroxy-6-methoxyphenazine,CHEBI:192366,COc1cccc2nc3c(O)cccc3nc12,CHEMBL220,Acetylcholinesterase,Enzyme (other),0.6666666666666666,0.6666666666666666,17,A- (0.6-0.7)
"2,4-di-tert-butylphenol",CHEBI:89188,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6666666666666666,0.6666666666666666,9,A- (0.6-0.7)
L-cystathionine,CHEBI:17482,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,CHEMBL3356,Cytochrome P450 1A2,CYP (metabolism),0.6666666666666666,0.6666666666666666,14,A- (0.6-0.7)
"2,4-di-tert-butylphenol",CHEBI:89188,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Enzyme (other),0.6666666666666666,0.6666666666666666,9,A- (0.6-0.7)
omega-hydroxy-beta-dihydromenaquinone-9,CHEBI:140189,CC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O)CO,CHEMBL256,Adenosine receptor A3,GPCR (aminergic/purinergic),0.6666666666666666,0.6666666666666666,12,A- (0.6-0.7)
omega-hydroxy-beta-dihydromenaquinone-9,CHEBI:140189,CC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O)CO,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.6666666666666666,0.6666666666666666,12,A- (0.6-0.7)
glutathione,CHEBI:16856,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.6666666666666666,0.6666666666666666,16,A- (0.6-0.7)
omega-hydroxy-beta-dihydromenaquinone-9,CHEBI:140189,CC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O)CO,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.6666666666666666,0.6666666666666666,12,A- (0.6-0.7)
omega-hydroxy-beta-dihydromenaquinone-9,CHEBI:140189,CC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O)CO,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.6666666666666666,0.6666666666666666,12,A- (0.6-0.7)
"2,3-dichlorobenzoic acid",CHEBI:166845,O=C(O)c1cccc(Cl)c1Cl,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.6666666666666666,0.6666666666666666,14,A- (0.6-0.7)
rifamycin SV,CHEBI:29673,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Transporter/channel,0.6634615384615384,0.6634615384615384,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.66,0.66,12,A- (0.6-0.7)
(R)-S-lactoylglutathione,CHEBI:15694,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.66,0.66,6,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.66,0.66,12,A- (0.6-0.7)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.66,0.66,12,A- (0.6-0.7)
(R)-S-lactoylglutathione,CHEBI:15694,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.66,0.66,6,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.6530612244897959,0.6530612244897959,12,A- (0.6-0.7)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.6530612244897959,0.6530612244897959,12,A- (0.6-0.7)
2-amino-2-deoxy-beta-D-galactopyranose,CHEBI:39610,N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]1O,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.6521739130434783,0.6521739130434783,13,A- (0.6-0.7)
2-amino-2-deoxy-D-glucopyranose,CHEBI:47977,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,CHEMBL1947,Thyroid hormone receptor beta,Nuclear receptor,0.6521739130434783,0.6521739130434783,13,A- (0.6-0.7)
maltotetraose,CHEBI:28460,O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,CHEMBL288,"3',5'-cyclic-AMP phosphodiesterase 4D",Enzyme (other),0.6521739130434783,0.6521739130434783,9,A- (0.6-0.7)
maltohexaose,CHEBI:27445,O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,CHEMBL288,"3',5'-cyclic-AMP phosphodiesterase 4D",Enzyme (other),0.6521739130434783,0.6521739130434783,9,A- (0.6-0.7)
"ditrans,polycis-undecaprenyl diphosphate",CHEBI:18197,CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,CHEMBL4769,Geranylgeranyl pyrophosphate synthase,Enzyme (other),0.6511627906976745,0.6511627906976745,21,A- (0.6-0.7)
"2-trans,6-trans-farnesyl diphosphate",CHEBI:17407,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,CHEMBL4769,Geranylgeranyl pyrophosphate synthase,Enzyme (other),0.6511627906976745,0.6511627906976745,21,A- (0.6-0.7)
all-trans-octaprenyl diphosphate,CHEBI:16275,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,CHEMBL4769,Geranylgeranyl pyrophosphate synthase,Enzyme (other),0.6511627906976745,0.6511627906976745,21,A- (0.6-0.7)
4-hydroxychlorothalonil,CHEBI:133542,N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.65,0.65,2,A- (0.6-0.7)
4-hydroxychlorothalonil,CHEBI:133542,N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.65,0.65,2,A- (0.6-0.7)
L-asparagine,CHEBI:17196,NC(=O)C[C@H](N)C(=O)O,CHEMBL3577,Aldehyde dehydrogenase 1A1,Enzyme (other),0.65,0.65,15,A- (0.6-0.7)
minocycline,CHEBI:50694,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL230,Prostaglandin G/H synthase 2,Enzyme (other),0.6493506493506493,0.6493506493506493,8,A- (0.6-0.7)
minocycline,CHEBI:50694,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL211,Muscarinic acetylcholine receptor M2,GPCR (aminergic/purinergic),0.6493506493506493,0.6493506493506493,8,A- (0.6-0.7)
L-arginine,CHEBI:16467,N=C(N)NCCC[C@H](N)C(=O)O,CHEMBL211,Muscarinic acetylcholine receptor M2,GPCR (aminergic/purinergic),0.6470588235294118,0.6470588235294118,21,A- (0.6-0.7)
