metabolite,chebi_id,met_smiles,target_chembl_id,target_name,target_class,analog_similarity,nn_analog,metabolite_promiscuity,tier
beta-dihydromenaquinone-9,CHEBI:134607,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7872340425531915,0.7872340425531915,21,A (0.7-1.0)
beta-dihydromenaquinone-9,CHEBI:134607,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL256,Adenosine receptor A3,GPCR (aminergic/purinergic),0.7872340425531915,0.7872340425531915,21,A (0.7-1.0)
beta-dihydromenaquinone-9,CHEBI:134607,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7872340425531915,0.7872340425531915,21,A (0.7-1.0)
beta-dihydromenaquinone-9,CHEBI:134607,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,CHEMBL234,D(3) dopamine receptor,GPCR (aminergic/purinergic),0.7872340425531915,0.7872340425531915,21,A (0.7-1.0)
doxorubicin,CHEBI:28748,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,CHEMBL1865,Protein deacetylase HDAC6,Other,0.7857142857142857,0.7857142857142857,4,A (0.7-1.0)
echinenone,CHEBI:4746,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7857142857142857,0.7857142857142857,12,A (0.7-1.0)
doxorubicin,CHEBI:28748,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.7857142857142857,0.7857142857142857,4,A (0.7-1.0)
antimycin A13,CHEBI:223405,CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CCC(C)CC,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.7763157894736842,0.7763157894736842,3,A (0.7-1.0)
glutathione disulfide,CHEBI:17858,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3397,Cytochrome P450 2C9,CYP (metabolism),0.7674418604651163,0.7674418604651163,13,A (0.7-1.0)
glutathione disulfide,CHEBI:17858,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,CHEMBL3622,Cytochrome P450 2C19,CYP (metabolism),0.7674418604651163,0.7674418604651163,13,A (0.7-1.0)
antimycin A13,CHEBI:223405,CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CCC(C)CC,CHEMBL4040,Mitogen-activated protein kinase 1,Kinase,0.7662337662337663,0.7662337662337663,3,A (0.7-1.0)
ethylenediaminediacetic acid,CHEBI:132240,O=C(O)CNCCNCC(=O)O,CHEMBL3356,Cytochrome P450 1A2,CYP (metabolism),0.7647058823529411,0.7647058823529411,8,A (0.7-1.0)
11beta-hydroxytestosterone,CHEBI:81481,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,Enzyme (other),0.76,0.76,25,A (0.7-1.0)
11beta-hydroxytestosterone,CHEBI:81481,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL1994,Mineralocorticoid receptor,Nuclear receptor,0.76,0.76,25,A (0.7-1.0)
"4,4'-diaponeurosporenoic acid",CHEBI:83048,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)C(=O)O,CHEMBL208,Progesterone receptor,Nuclear receptor,0.7575757575757576,0.7575757575757576,10,A (0.7-1.0)
"4,4'-diaponeurosporenoic acid",CHEBI:83048,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)C(=O)O,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Nuclear receptor,0.7575757575757576,0.7575757575757576,10,A (0.7-1.0)
L-proline,CHEBI:17203,O=C(O)[C@@H]1CCCN1,CHEMBL340,Cytochrome P450 3A4,CYP (metabolism),0.75,0.75,8,A (0.7-1.0)
1'-hydroxytorulene,CHEBI:80134,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(C)/C=C/CC(C)(C)O)C(C)(C)CCC1,CHEMBL221,Prostaglandin G/H synthase 1,Enzyme (other),0.75,0.75,12,A (0.7-1.0)
nanaomycin A,CHEBI:48202,C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,Kinase,0.75,0.75,8,A (0.7-1.0)
